"Other couples";"Fanø";160;167
"Other couples";"Fredericia";2941;2991
"Other couples";"Haderslev";3160;3179
"Other couples";"Kolding";5685;5716
"Other couples";"Sønderborg";3801;3845
"Other couples";"Tønder";2027;2067
"Other couples";"Varde";2655;2640
"Other couples";"Vejen";2445;2466
"Other couples";"Vejle";6588;6894
"Other couples";"Aabenraa";3168;3195
"Other couples";"Region Midtjylland";80880;82697
"Other couples";"Favrskov";2465;2459
"Other couples";"Hedensted";2492;2560
"Other couples";"Horsens";5621;5793
"Other couples";"Norddjurs";2170;2211
"Other couples";"Odder";1062;1100
"Other couples";"Randers";6072;6148
"Other couples";"Samsø";185;191
"Other couples";"Silkeborg";5333;5540
"Other couples";"Skanderborg";3198;3279
"Other couples";"Syddjurs";2211;2312
"Other couples";"Aarhus";27193;27998
"Other couples";"Herning";4865;4901
"Other couples";"Holstebro";3258;3313
"Other couples";"Ikast-Brande";2186;2282
"Other couples";"Lemvig";913;967
"Other couples";"Ringkøbing-Skjern";2553;2598
"Other couples";"Skive";2635;2611
"Other couples";"Struer";1035;995
"Other couples";"Viborg";5433;5439
"Other couples";"Region Nordjylland";38405;38913
"Other couples";"Brønderslev";2121;2169
"Other couples";"Frederikshavn";3481;3461
"Other couples";"Hjørring";3797;3873
"Other couples";"Jammerbugt";2105;2127
"Other couples";"Læsø";80;89
"Other couples";"Mariagerfjord";2272;2251
"Other couples";"Morsø";1163;1166
"Other couples";"Rebild";1767;1788
"Other couples";"Thisted";2323;2380
"Other couples";"Vesthimmerlands";2097;2098
"Other couples";"Aalborg";17199;17511
"Children below 18 years not living with parents";"Region Hovedstaden";218;217
"Children below 18 years not living with parents";"Copenhagen";51;62
"Children below 18 years not living with parents";"Frederiksberg";10;14
"Children below 18 years not living with parents";"Dragør";0;0
"Children below 18 years not living with parents";"Tårnby";0;1
"Children below 18 years not living with parents";"Albertslund";2;1
"Children below 18 years not living with parents";"Ballerup";7;5
"Children below 18 years not living with parents";"Brøndby";11;9
"Children below 18 years not living with parents";"Gentofte";21;16
"Children below 18 years not living with parents";"Gladsaxe";4;1
"Children below 18 years not living with parents";"Glostrup";0;2
"Children below 18 years not living with parents";"Herlev";3;2
"Children below 18 years not living with parents";"Hvidovre";7;6
"Children below 18 years not living with parents";"Høje-Taastrup";1;2
"Children below 18 years not living with parents";"Ishøj";1;0
"Children below 18 years not living with parents";"Lyngby-Taarbæk";6;2
"Children below 18 years not living with parents";"Rødovre";2;2
"Children below 18 years not living with parents";"Vallensbæk";0;0
"Children below 18 years not living with parents";"Allerød";1;2
"Children below 18 years not living with parents";"Egedal";1;1
"Children below 18 years not living with parents";"Fredensborg";2;2
"Children below 18 years not living with parents";"Frederikssund";5;4
"Children below 18 years not living with parents";"Furesø";0;1
"Children below 18 years not living with parents";"Gribskov";22;19
"Children below 18 years not living with parents";"Halsnæs";3;3
"Children below 18 years not living with parents";"Helsingør";6;8
"Children below 18 years not living with parents";"Hillerød";2;3
"Children below 18 years not living with parents";"Hørsholm";1;2
"Children below 18 years not living with parents";"Rudersdal";40;40
"Children below 18 years not living with parents";"Bornholm";9;7
"Children below 18 years not living with parents";"Christiansø";0;0
"Children below 18 years not living with parents";"Region Sjælland";152;142
"Children below 18 years not living with parents";"Greve";15;13
"Children below 18 years not living with parents";"Køge";4;6
"Children below 18 years not living with parents";"Lejre";6;5
"Children below 18 years not living with parents";"Roskilde";11;11
"Children below 18 years not living with parents";"Solrød";0;0
"Children below 18 years not living with parents";"Faxe";5;6
"Children below 18 years not living with parents";"Guldborgsund";15;17
"Children below 18 years not living with parents";"Holbæk";22;26
"Children below 18 years not living with parents";"Kalundborg";4;12
"Children below 18 years not living with parents";"Lolland";10;3
"Children below 18 years not living with parents";"Næstved";16;12
"Children below 18 years not living with parents";"Odsherred";7;5
"Children below 18 years not living with parents";"Ringsted";2;3
"Children below 18 years not living with parents";"Slagelse";11;13
"Children below 18 years not living with parents";"Sorø";7;2
"Children below 18 years not living with parents";"Stevns";1;0
"Children below 18 years not living with parents";"Vordingborg";16;8
"Children below 18 years not living with parents";"Region Syddanmark";248;295
"Children below 18 years not living with parents";"Assens";6;0
"Children below 18 years not living with parents";"Faaborg-Midtfyn";1;3
"Children below 18 years not living with parents";"Kerteminde";7;9
"Children below 18 years not living with parents";"Langeland";3;1
"Children below 18 years not living with parents";"Middelfart";10;16
"Children below 18 years not living with parents";"Nordfyns";3;2
"Children below 18 years not living with parents";"Nyborg";3;10
"Children below 18 years not living with parents";"Odense";18;33
"Children below 18 years not living with parents";"Svendborg";41;30
"Children below 18 years not living with parents";"Ærø";21;19
"Children below 18 years not living with parents";"Billund";3;9
"Children below 18 years not living with parents";"Esbjerg";25;23
"Children below 18 years not living with parents";"Fanø";0;0
"Children below 18 years not living with parents";"Fredericia";12;8
"Children below 18 years not living with parents";"Haderslev";18;18
"Children below 18 years not living with parents";"Kolding";7;21
"Children below 18 years not living with parents";"Sønderborg";21;17
"Children below 18 years not living with parents";"Tønder";9;20
"Children below 18 years not living with parents";"Varde";4;8
"Children below 18 years not living with parents";"Vejen";5;4
"Children below 18 years not living with parents";"Vejle";22;28
"Children below 18 years not living with parents";"Aabenraa";9;16
"Children below 18 years not living with parents";"Region Midtjylland";265;274
"Children below 18 years not living with parents";"Favrskov";11;9
"Children below 18 years not living with parents";"Hedensted";4;1
"Children below 18 years not living with parents";"Horsens";7;5
"Children below 18 years not living with parents";"Norddjurs";53;61
"Children below 18 years not living with parents";"Odder";3;4
"Children below 18 years not living with parents";"Randers";11;15
"Children below 18 years not living with parents";"Samsø";1;0
"Children below 18 years not living with parents";"Silkeborg";16;12
"Children below 18 years not living with parents";"Skanderborg";5;4
"Children below 18 years not living with parents";"Syddjurs";3;10
"Children below 18 years not living with parents";"Aarhus";35;36
"Children below 18 years not living with parents";"Herning";21;10
"Children below 18 years not living with parents";"Holstebro";16;12
"Children below 18 years not living with parents";"Ikast-Brande";16;12
"Children below 18 years not living with parents";"Lemvig";1;2
"Children below 18 years not living with parents";"Ringkøbing-Skjern";4;6
"Children below 18 years not living with parents";"Skive";7;8
"Children below 18 years not living with parents";"Struer";3;5
"Children below 18 years not living with parents";"Viborg";48;62
"Children below 18 years not living with parents";"Region Nordjylland";145;163
"Children below 18 years not living with parents";"Brønderslev";4;7
"Children below 18 years not living with parents";"Frederikshavn";9;14
"Children below 18 years not living with parents";"Hjørring";10;10
"Children below 18 years not living with parents";"Jammerbugt";6;23
"Children below 18 years not living with parents";"Læsø";0;0
"Children below 18 years not living with parents";"Mariagerfjord";8;8
"Children below 18 years not living with parents";"Morsø";13;14
"Children below 18 years not living with parents";"Rebild";3;2
"Children below 18 years not living with parents";"Thisted";33;30
"Children below 18 years not living with parents";"Vesthimmerlands";14;10
"Children below 18 years not living with parents";"Aalborg";45;45
"Other households including more than 1 family";"Region Hovedstaden";97539;96148
"Other households including more than 1 family";"Copenhagen";46324;45819
"Other households including more than 1 family";"Frederiksberg";5714;5538
"Other households including more than 1 family";"Dragør";439;461
"Other households including more than 1 family";"Tårnby";1824;1770
"Other households including more than 1 family";"Albertslund";1420;1357
"Other households including more than 1 family";"Ballerup";1739;1705
"Other households including more than 1 family";"Brøndby";1888;1881
"Other households including more than 1 family";"Gentofte";3383;3245
"Other households including more than 1 family";"Gladsaxe";2734;2548
"Other households including more than 1 family";"Glostrup";921;915
"Other households including more than 1 family";"Herlev";985;951
"Other households including more than 1 family";"Hvidovre";2283;2293
"Other households including more than 1 family";"Høje-Taastrup";2690;2759
"Other households including more than 1 family";"Ishøj";1393;1419
"Other households including more than 1 family";"Lyngby-Taarbæk";1753;1687
"Other households including more than 1 family";"Rødovre";1687;1721
"Other households including more than 1 family";"Vallensbæk";766;732
"Other households including more than 1 family";"Allerød";743;702
"Other households including more than 1 family";"Egedal";1554;1547
"Other households including more than 1 family";"Fredensborg";1482;1424
"Other households including more than 1 family";"Frederikssund";2121;2160
"Other households including more than 1 family";"Furesø";1412;1358
"Other households including more than 1 family";"Gribskov";2453;2405
"Other households including more than 1 family";"Halsnæs";1799;1798
"Other households including more than 1 family";"Helsingør";2559;2477
"Other households including more than 1 family";"Hillerød";1863;1877
"Other households including more than 1 family";"Hørsholm";725;700
"Other households including more than 1 family";"Rudersdal";1686;1611
"Other households including more than 1 family";"Bornholm";1199;1287
"Other households including more than 1 family";"Christiansø";0;1
"Other households including more than 1 family";"Region Sjælland";32569;32244
"Other households including more than 1 family";"Greve";1971;1975
"Other households including more than 1 family";"Køge";2506;2480
"Other households including more than 1 family";"Lejre";1225;1197
"Other households including more than 1 family";"Roskilde";3102;3046
"Other households including more than 1 family";"Solrød";664;685
"Other households including more than 1 family";"Faxe";1508;1539
"Other households including more than 1 family";"Guldborgsund";2205;2140
"Other households including more than 1 family";"Holbæk";2939;2888
"Other households including more than 1 family";"Kalundborg";1862;1823
"Other households including more than 1 family";"Lolland";1513;1481
"Other households including more than 1 family";"Næstved";3128;3109
"Other households including more than 1 family";"Odsherred";1492;1469
"Other households including more than 1 family";"Ringsted";1475;1458
"Other households including more than 1 family";"Slagelse";2986;2994
"Other households including more than 1 family";"Sorø";1110;1108
"Other households including more than 1 family";"Stevns";1019;1029
"Other households including more than 1 family";"Vordingborg";1864;1823
"Other households including more than 1 family";"Region Syddanmark";38102;37421
"Other households including more than 1 family";"Assens";1262;1217
"Other households including more than 1 family";"Faaborg-Midtfyn";1545;1535
"Other households including more than 1 family";"Kerteminde";679;691
"Other households including more than 1 family";"Langeland";422;411
"Other households including more than 1 family";"Middelfart";1023;1036
"Other households including more than 1 family";"Nordfyns";1001;1004
"Other households including more than 1 family";"Nyborg";954;933
"Other households including more than 1 family";"Odense";8921;8615
"Other households including more than 1 family";"Svendborg";1801;1810
"Other households including more than 1 family";"Ærø";182;180
"Other households including more than 1 family";"Billund";659;671
"Other households including more than 1 family";"Esbjerg";3006;2945
"Other households including more than 1 family";"Fanø";85;72
"Other households including more than 1 family";"Fredericia";1389;1353
"Other households including more than 1 family";"Haderslev";1692;1637
"Other households including more than 1 family";"Kolding";2813;2717
"Other households including more than 1 family";"Sønderborg";1944;1952
"Other households including more than 1 family";"Tønder";1087;1091
"Other households including more than 1 family";"Varde";1340;1301
"Other households including more than 1 family";"Vejen";1286;1295
"Other households including more than 1 family";"Vejle";3350;3293
"Other households including more than 1 family";"Aabenraa";1661;1662
"Other households including more than 1 family";"Region Midtjylland";46180;45298
"Other households including more than 1 family";"Favrskov";1191;1152
"Other households including more than 1 family";"Hedensted";1322;1306
"Other households including more than 1 family";"Horsens";2860;2901
"Other households including more than 1 family";"Norddjurs";1316;1344
"Other households including more than 1 family";"Odder";630;618
"Other households including more than 1 family";"Randers";2711;2671
"Other households including more than 1 family";"Samsø";118;127
"Other households including more than 1 family";"Silkeborg";2585;2595
"Other households including more than 1 family";"Skanderborg";1428;1412
"Other households including more than 1 family";"Syddjurs";1455;1437
"Other households including more than 1 family";"Aarhus";19659;19129
"Other households including more than 1 family";"Herning";2359;2230
"Other households including more than 1 family";"Holstebro";1482;1453
"Other households including more than 1 family";"Ikast-Brande";1133;1126
"Other households including more than 1 family";"Lemvig";449;431
"Other households including more than 1 family";"Ringkøbing-Skjern";1404;1366
"Other households including more than 1 family";"Skive";1010;1028
"Other households including more than 1 family";"Struer";462;434
"Other households including more than 1 family";"Viborg";2606;2538
"Other households including more than 1 family";"Region Nordjylland";17290;16917
"Other households including more than 1 family";"Brønderslev";970;874
"Other households including more than 1 family";"Frederikshavn";1478;1442
"Other households including more than 1 family";"Hjørring";1757;1699
"Other households including more than 1 family";"Jammerbugt";1041;1021
"Other households including more than 1 family";"Læsø";57;50
"Other households including more than 1 family";"Mariagerfjord";1183;1170
"Other households including more than 1 family";"Morsø";460;435
"Other households including more than 1 family";"Rebild";722;709
"Other households including more than 1 family";"Thisted";1082;1084
"Other households including more than 1 family";"Vesthimmerlands";1084;1060
"Other households including more than 1 family";"Aalborg";7456;7373
